Original_Row_Data,Violation_Type,Violation_Reason,Recommendation,Column_Affected,Value_Causing_Violation
{},Data Type Consistency,"Data types differ for column 'box_office_us_canada': BigQuery is 'int64', Pandas inferred 'Int64'.",Standardize type casting during ETL or adjust BigQuery schema.,box_office_us_canada,"BQ: int64, PD: Int64"
{},Data Type Consistency,"Data types differ for column 'box_office_other': BigQuery is 'int64', Pandas inferred 'Int64'.",Standardize type casting during ETL or adjust BigQuery schema.,box_office_other,"BQ: int64, PD: Int64"
{},Data Type Consistency,"Data types differ for column 'box_office_worldwide': BigQuery is 'int64', Pandas inferred 'Int64'.",Standardize type casting during ETL or adjust BigQuery schema.,box_office_worldwide,"BQ: int64, PD: Int64"
"{'film': ""A Bug's Life"", 'budget': '120000000', 'box_office_us_canada': 162798565, 'box_office_other': 200460294, 'box_office_worldwide': 363258859}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'film'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",film,A Bug's Life
"{'film': 'Monsters, Inc.', 'budget': '115000000', 'box_office_us_canada': 255873250, 'box_office_other': 272900000, 'box_office_worldwide': 528773250}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,115000000
"{'film': ""A Bug's Life"", 'budget': '120000000', 'box_office_us_canada': 162798565, 'box_office_other': 200460294, 'box_office_worldwide': 363258859}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,120000000
"{'film': 'Cars', 'budget': '120000000', 'box_office_us_canada': 244082982, 'box_office_other': 217900167, 'box_office_worldwide': 461983149}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,120000000
"{'film': 'Ratatouille', 'budget': '150000000', 'box_office_us_canada': 206445654, 'box_office_other': 417280431, 'box_office_worldwide': 623726085}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,150000000
"{'film': 'Soul', 'budget': '150000000', 'box_office_us_canada': 946154, 'box_office_other': 120957731, 'box_office_worldwide': 121903885}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,150000000
"{'film': 'Up', 'budget': '175000000', 'box_office_us_canada': 293004164, 'box_office_other': 442094918, 'box_office_worldwide': 735099082}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,175000000
"{'film': 'Inside Out', 'budget': '175000000', 'box_office_us_canada': 356461711, 'box_office_other': 501149463, 'box_office_worldwide': 857611174}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,175000000
"{'film': 'The Good Dinosaur', 'budget': '175000000', 'box_office_us_canada': 123087120, 'box_office_other': 209120551, 'box_office_worldwide': 332207671}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,175000000
"{'film': 'Cars 3', 'budget': '175000000', 'box_office_us_canada': 152901115, 'box_office_other': 231029541, 'box_office_worldwide': 383930656}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,175000000
"{'film': 'Coco', 'budget': '175000000', 'box_office_us_canada': 210460015, 'box_office_other': 604181157, 'box_office_worldwide': 814641172}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,175000000
"{'film': 'Onward', 'budget': '175000000', 'box_office_us_canada': 61555145, 'box_office_other': 80384897, 'box_office_worldwide': 141940042}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,175000000
"{'film': 'Turning Red', 'budget': '175000000', 'box_office_us_canada': 1399001, 'box_office_other': 20414357, 'box_office_worldwide': 21813358}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,175000000
"{'film': 'WALL-E', 'budget': '180000000', 'box_office_us_canada': 223808164, 'box_office_other': 297503696, 'box_office_worldwide': 521311860}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,180000000
"{'film': 'Brave', 'budget': '185000000', 'box_office_us_canada': 237283207, 'box_office_other': 301700000, 'box_office_worldwide': 538983207}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,185000000
"{'film': 'Toy Story 3', 'budget': '200000000', 'box_office_us_canada': 415004880, 'box_office_other': 651964823, 'box_office_worldwide': 1066969703}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,200000000
"{'film': 'Cars 2', 'budget': '200000000', 'box_office_us_canada': 191452396, 'box_office_other': 368400000, 'box_office_worldwide': 559852396}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,200000000
"{'film': 'Monsters University', 'budget': '200000000', 'box_office_us_canada': 268492764, 'box_office_other': 475066843, 'box_office_worldwide': 743559607}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,200000000
"{'film': 'Finding Dory', 'budget': '200000000', 'box_office_us_canada': 486295561, 'box_office_other': 542275328, 'box_office_worldwide': 1028570889}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,200000000
"{'film': 'Incredibles 2', 'budget': '200000000', 'box_office_us_canada': 608581744, 'box_office_other': 634223615, 'box_office_worldwide': 1242805359}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,200000000
"{'film': 'Toy Story 4', 'budget': '200000000', 'box_office_us_canada': 434038008, 'box_office_other': 639356585, 'box_office_worldwide': 1073394593}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,200000000
"{'film': 'Lightyear', 'budget': '200000000', 'box_office_us_canada': 118307188, 'box_office_other': 108118232, 'box_office_worldwide': 226425420}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,200000000
"{'film': 'Elemental', 'budget': '200000000', 'box_office_us_canada': 154426697, 'box_office_other': 342017611, 'box_office_worldwide': 496444308}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,200000000
"{'film': 'Inside Out 2', 'budget': '200000000', 'box_office_us_canada': 652980194, 'box_office_other': 1045050771, 'box_office_worldwide': 1698030965}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,200000000
"{'film': 'Toy Story', 'budget': '30000000', 'box_office_us_canada': 223225679, 'box_office_other': 171210907, 'box_office_worldwide': 394436586}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,30000000
"{'film': 'Toy Story 2', 'budget': '90000000', 'box_office_us_canada': 245852179, 'box_office_other': 265506097, 'box_office_worldwide': 511358276}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,90000000
"{'film': 'The Incredibles', 'budget': '92000000', 'box_office_us_canada': 261441092, 'box_office_other': 370001000, 'box_office_worldwide': 631442092}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,92000000
"{'film': 'Finding Nemo', 'budget': '94000000', 'box_office_us_canada': 339714978, 'box_office_other': 531300000, 'box_office_worldwide': 871014978}",Pattern & Format (Inconsistent Casing),Inconsistent casing detected in column 'budget'.,"Normalize casing using `.title()`, `.upper()`, or `.lower()` during ETL.",budget,94000000
"{'film': 'Monsters, Inc.', 'budget': '115000000', 'box_office_us_canada': 255873250, 'box_office_other': 272900000, 'box_office_worldwide': 528773250}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,115000000
"{'film': ""A Bug's Life"", 'budget': '120000000', 'box_office_us_canada': 162798565, 'box_office_other': 200460294, 'box_office_worldwide': 363258859}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,120000000
"{'film': 'Cars', 'budget': '120000000', 'box_office_us_canada': 244082982, 'box_office_other': 217900167, 'box_office_worldwide': 461983149}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,120000000
"{'film': 'Ratatouille', 'budget': '150000000', 'box_office_us_canada': 206445654, 'box_office_other': 417280431, 'box_office_worldwide': 623726085}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,150000000
"{'film': 'Soul', 'budget': '150000000', 'box_office_us_canada': 946154, 'box_office_other': 120957731, 'box_office_worldwide': 121903885}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,150000000
"{'film': 'Up', 'budget': '175000000', 'box_office_us_canada': 293004164, 'box_office_other': 442094918, 'box_office_worldwide': 735099082}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,175000000
"{'film': 'Inside Out', 'budget': '175000000', 'box_office_us_canada': 356461711, 'box_office_other': 501149463, 'box_office_worldwide': 857611174}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,175000000
"{'film': 'The Good Dinosaur', 'budget': '175000000', 'box_office_us_canada': 123087120, 'box_office_other': 209120551, 'box_office_worldwide': 332207671}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,175000000
"{'film': 'Cars 3', 'budget': '175000000', 'box_office_us_canada': 152901115, 'box_office_other': 231029541, 'box_office_worldwide': 383930656}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,175000000
"{'film': 'Coco', 'budget': '175000000', 'box_office_us_canada': 210460015, 'box_office_other': 604181157, 'box_office_worldwide': 814641172}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,175000000
"{'film': 'Onward', 'budget': '175000000', 'box_office_us_canada': 61555145, 'box_office_other': 80384897, 'box_office_worldwide': 141940042}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,175000000
"{'film': 'Turning Red', 'budget': '175000000', 'box_office_us_canada': 1399001, 'box_office_other': 20414357, 'box_office_worldwide': 21813358}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,175000000
"{'film': 'WALL-E', 'budget': '180000000', 'box_office_us_canada': 223808164, 'box_office_other': 297503696, 'box_office_worldwide': 521311860}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,180000000
"{'film': 'Brave', 'budget': '185000000', 'box_office_us_canada': 237283207, 'box_office_other': 301700000, 'box_office_worldwide': 538983207}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,185000000
"{'film': 'Toy Story 3', 'budget': '200000000', 'box_office_us_canada': 415004880, 'box_office_other': 651964823, 'box_office_worldwide': 1066969703}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,200000000
"{'film': 'Cars 2', 'budget': '200000000', 'box_office_us_canada': 191452396, 'box_office_other': 368400000, 'box_office_worldwide': 559852396}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,200000000
"{'film': 'Monsters University', 'budget': '200000000', 'box_office_us_canada': 268492764, 'box_office_other': 475066843, 'box_office_worldwide': 743559607}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,200000000
"{'film': 'Finding Dory', 'budget': '200000000', 'box_office_us_canada': 486295561, 'box_office_other': 542275328, 'box_office_worldwide': 1028570889}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,200000000
"{'film': 'Incredibles 2', 'budget': '200000000', 'box_office_us_canada': 608581744, 'box_office_other': 634223615, 'box_office_worldwide': 1242805359}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,200000000
"{'film': 'Toy Story 4', 'budget': '200000000', 'box_office_us_canada': 434038008, 'box_office_other': 639356585, 'box_office_worldwide': 1073394593}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,200000000
"{'film': 'Lightyear', 'budget': '200000000', 'box_office_us_canada': 118307188, 'box_office_other': 108118232, 'box_office_worldwide': 226425420}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,200000000
"{'film': 'Elemental', 'budget': '200000000', 'box_office_us_canada': 154426697, 'box_office_other': 342017611, 'box_office_worldwide': 496444308}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,200000000
"{'film': 'Inside Out 2', 'budget': '200000000', 'box_office_us_canada': 652980194, 'box_office_other': 1045050771, 'box_office_worldwide': 1698030965}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,200000000
"{'film': 'Toy Story', 'budget': '30000000', 'box_office_us_canada': 223225679, 'box_office_other': 171210907, 'box_office_worldwide': 394436586}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,30000000
"{'film': 'Toy Story 2', 'budget': '90000000', 'box_office_us_canada': 245852179, 'box_office_other': 265506097, 'box_office_worldwide': 511358276}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,90000000
"{'film': 'The Incredibles', 'budget': '92000000', 'box_office_us_canada': 261441092, 'box_office_other': 370001000, 'box_office_worldwide': 631442092}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,92000000
"{'film': 'Finding Nemo', 'budget': '94000000', 'box_office_us_canada': 339714978, 'box_office_other': 531300000, 'box_office_worldwide': 871014978}",Pattern & Format (Regex Anomaly - Numeric Only),Column 'budget' contains numeric-only string where text is expected.,Update validation rules to reject suspicious values or convert to numeric type if appropriate.,budget,94000000
